"X.1","X","name","album","release_date","track_number","id","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
43,42,"Anti-Hero","Midnights","2022-10-21",3,"0V3wPSX9ygBnCm8psDIegu",0.13,0.637,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,0.533,92,200690
41,40,"Lavender Haze","Midnights","2022-10-21",1,"5jQI2r1RdgtuT8S3iG8zFC",0.258,0.733,0.436,0.000573,0.157,-10.489,0.08,96.985,0.0976,85,202395
402,401,"Don’t Blame Me","reputation","2017-11-10",4,"1R0a2iXumgCiFb7HEZ7gUE",0.106,0.615,0.534,1.76e-05,0.0607,-6.719,0.0386,135.917,0.193,84,236413
46,45,"Midnight Rain","Midnights","2022-10-21",6,"3rWDp9tBPQR9z6U5YyRSK4",0.69,0.643,0.363,5.17e-05,0.115,-11.738,0.0767,139.865,0.23,83,174782
44,43,"Snow On The Beach (feat. Lana Del Rey)","Midnights","2022-10-21",4,"1wtOxkiel43cVs0Yux5Q4h",0.69,0.663,0.319,0.000993,0.117,-13.481,0.0375,109.957,0.193,81,256124
335,334,"cardigan","folklore","2020-07-24",2,"4R2kfaDFhslZEMJqAFNpdd",0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,0.551,81,239560
368,367,"Lover","Lover","2019-08-23",3,"1dGr1c8CrMLDpV6mPbImSI",0.492,0.359,0.543,1.58e-05,0.118,-7.582,0.0919,68.534,0.453,81,221306
671,670,"Blank Space","1989 (Deluxe)","2014-01-01",2,"1u8c2t2Cy7UBoG4ArRcF5g",0.103,0.76,0.703,0,0.0913,-5.412,0.054,95.997,0.57,81,231826
45,44,"You're On Your Own, Kid","Midnights","2022-10-21",5,"4D7BCuvgdJlYvlX5WlN54t",0.401,0.696,0.396,5.2e-06,0.125,-10.289,0.0656,120.041,0.38,80,194206
49,48,"Bejeweled","Midnights","2022-10-21",9,"3qoftcUZaUOncvIYjFSPdE",0.0618,0.696,0.559,5.58e-05,0.0887,-9.19,0.0693,163.999,0.433,80,194165
51,50,"Karma","Midnights","2022-10-21",11,"7KokYm8cMIXCsGVmUvKtqf",0.0734,0.642,0.62,0,0.483,-7.091,0.0666,90.02,0.0969,80,204852
341,340,"august","folklore","2020-07-24",8,"3hUxzQpSfdDqwM3ZTFQY0K",0.538,0.532,0.623,7.28e-05,0.0925,-9.208,0.0331,89.937,0.403,80,261922
367,366,"Cruel Summer","Lover","2019-08-23",2,"1BxfuPKGuaTgP7aM0Bbdwr",0.117,0.552,0.702,2.06e-05,0.105,-5.707,0.157,169.994,0.564,80,178426
14,13,"The Great War","Midnights (3am Edition)","2022-10-22",14,"3UMrglJeju5yWyYIW6o99b",0.219,0.573,0.741,2.23e-05,0.0842,-8.987,0.0353,96.016,0.554,79,240355
42,41,"Maroon","Midnights","2022-10-21",2,"3eX0NZfLtGzoLUxPNvRfqm",0.0573,0.637,0.398,1.03e-06,0.101,-8.294,0.0564,108.075,0.0374,79,218270
96,95,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",30,"5enxwA8aAbwZbf5qCHORXi",0.274,0.631,0.518,0,0.088,-8.771,0.0303,93.023,0.205,79,613026
19,18,"Would've, Could've, Should've","Midnights (3am Edition)","2022-10-22",19,"0aV5uARAknQgYhBaK944FP",0.43,0.483,0.84,0.000575,0.146,-6.508,0.119,157.979,0.55,78,260361
373,372,"Paper Rings","Lover","2019-08-23",8,"4y5bvROuBDPr5fuwXbIBZR",0.0129,0.811,0.719,1.36e-05,0.0742,-6.553,0.0497,103.979,0.865,78,222400
675,674,"Shake It Off","1989 (Deluxe)","2014-01-01",6,"0cqRj7pUJDkTCEsJkx8snD",0.0647,0.647,0.8,0,0.334,-5.384,0.165,160.078,0.942,78,219200
48,47,"Vigilante Shit","Midnights","2022-10-21",8,"1xwAWUI6Dj0WGC3KiUPN0O",0.173,0.798,0.277,5.25e-05,0.121,-11.096,0.39,79.846,0.163,77,164801
136,135,"The Way I Loved You (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",10,"22bPsP2jCgbLUvh82U0Z3M",0.0033,0.402,0.732,0,0.108,-4.665,0.0484,161.032,0.472,77,243136
407,406,"Getaway Car","reputation","2017-11-10",9,"0VE4kBnHJUgtMf0dy6DRmW",0.00465,0.562,0.689,2.23e-06,0.0888,-6.745,0.127,172.054,0.351,77,233626
672,671,"Style","1989 (Deluxe)","2014-01-01",3,"0ug5NqcwcFR2xrfTkc7k8e",0.00245,0.588,0.791,0.00258,0.118,-5.595,0.0402,94.933,0.487,77,231000
15,14,"Bigger Than The Whole Sky","Midnights (3am Edition)","2022-10-22",15,"0BiqmkasE5FdrChwKfVp8X",0.826,0.422,0.235,0.00648,0.115,-12.379,0.0568,165.71,0.068,76,218502
16,15,"Paris","Midnights (3am Edition)","2022-10-22",16,"7712gjoih4QoDbXpljEk21",0.112,0.7,0.509,3.27e-05,0.137,-10.547,0.0789,110.947,0.345,76,196258
132,131,"You Belong With Me (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",6,"1qrpoAMXodY6895hGKoUpA",0.0623,0.632,0.773,0,0.0885,-4.856,0.0346,130.033,0.474,76,231124
665,664,"Wildest Dreams","1989","2014-01-01",9,"3fVnlF4pGqWI9flVENcT28",0.0709,0.553,0.664,0.0056,0.106,-7.417,0.0741,140.06,0.467,76,220440
7,6,"Question...?","Midnights (3am Edition)","2022-10-22",7,"6C7OF1Jal7YkyjzyUG8vkK",0.226,0.751,0.502,0,0.297,-8.777,0.162,108.989,0.112,75,210556
17,16,"High Infidelity","Midnights (3am Edition)","2022-10-22",17,"5kiZGSxgqPdv6rbqL9THdd",0.723,0.646,0.529,0,0.0885,-10.179,0.0864,87.862,0.755,75,231475
53,52,"Mastermind","Midnights","2022-10-21",13,"7FmYn9e7KHMXcxqGSj9LjH",0.553,0.662,0.357,0.00129,0.0837,-14.064,0.154,125.966,0.124,75,191039
203,202,"champagne problems","evermore","2020-12-11",2,"0sY6ZUTh4yoctD8VIXz339",0.92,0.462,0.24,0,0.113,-12.077,0.0377,171.319,0.32,75,244000
337,336,"exile (feat. Bon Iver)","folklore","2020-07-24",4,"4pvb0WLRcMtbPGmtejJJ6y",0.778,0.298,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,0.152,75,285634
369,368,"The Man","Lover","2019-08-23",4,"3RauEVgRgj1IuWdJ9fDs70",0.0767,0.777,0.658,0,0.0901,-5.191,0.054,110.048,0.633,75,190360
403,402,"Delicate","reputation","2017-11-10",5,"6NFyWDv5CjfwuzoCkw47Xf",0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,0.0499,75,232253
404,403,"Look What You Made Me Do","reputation","2017-11-10",6,"1P17dC1amhFzptugyAO7Il",0.204,0.766,0.709,1.41e-05,0.126,-6.471,0.123,128.07,0.506,75,211853
406,405,"Gorgeous","reputation","2017-11-10",8,"1ZY1PqizIl78geGM4xWlEA",0.0713,0.8,0.535,9.48e-06,0.213,-6.684,0.135,92.027,0.451,75,209680
